MacroPlot Name,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
PIAB 02,8/1/2024 3:20:27 PM,,,,,,,,,,,,4,50,Lalor; Tumicki,Tumicki,,,,,True,
PIAB 02,8/1/2024 3:20:27 PM,1,1,5,1,3.5,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,2,1,5,2,4,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,3,1,5,3,4,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,4,1,5,4,7,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,5,1,5,5,4,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,6,1,5,6,14,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,7,1,5,7,3.5,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,8,2,1,8,18.5,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,9,2,1,9,3.5,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,10,2,1,10,4,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,11,3,4,11,3.5,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,12,3,4,12,3,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,13,3,4,13,4,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,14,3,4,14,19.5,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,15,4,5,15,7,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,16,4,5,16,23,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,17,4,5,17,4.5,3,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,18,4,5,18,7,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,19,4,5,19,3.5,4,PIAB,,,,,,,,,,,,,,
PIAB 02,8/1/2024 3:20:27 PM,20,4,5,20,5,3,PIAB,,,,,,,,,,,,,,
PIPN 13,9/11/2024 3:02:58 PM,,,,,,,,,,,,4,50,Gilmore,Gilmore,,,,Bison-beefalo,True,
PIPN 13,9/11/2024 3:02:58 PM,1,1,6,1,3,3,PIPN,,,,,,,,,,,,,,
PIPN 13,9/11/2024 3:02:58 PM,2,1,6,2,7,4,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,,,,,,,,,,,,4,50,Tumicki,Brannfors,,,,,True,
PIPN 08,9/10/2024 3:01:35 PM,1,4,1,1,4,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,2,4,1,2,4.5,4,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,3,4,1,3,13,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,4,4,1,4,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,5,3,3,5,7.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,6,3,3,6,6,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,7,3,3,7,13,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,8,2,1,8,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,9,2,1,9,12,4,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,10,2,1,10,7.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,11,2,1,11,14,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,12,2,1,12,5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,13,2,1,13,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,14,2,1,14,4,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,15,1,10,15,6,3,PIPN,,,,,,,,,,,,,,
PIPN 08,9/10/2024 3:01:35 PM,16,1,10,16,5.5,3,PIPN,,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,,,,,,,,,,,,4,50,Gilmore,Tumicki,,,,,True,
PIAB 06,9/4/2024 2:52:07 PM,1,1,18,1,17,4,PIAB,,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,2,4,5,2,5.5,4,PIAB,,,,,,,,,,,,,,
PIAB 06,9/4/2024 2:52:07 PM,3,4,5,3,4,4,PIAB,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,,,,,,,,,,,,4,50,Lalor; Brannfors,Tumicki,,,,,True,
PIPN 02,6/5/2024 1:14:48 PM,1,1,12,1,11,3,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,2,1,12,2,3,3,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,3,1,12,3,5.5,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,4,2,10,4,4.5,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,5,2,10,5,3,3,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,6,2,10,6,3,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,7,2,10,7,6,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,8,2,10,8,4,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,9,3,12,9,6,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,10,3,12,10,3.5,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,11,3,12,11,10,4,PIPN,,,,,,,,,,,,,,
PIPN 02,6/5/2024 1:14:48 PM,12,4,5,12,5,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,,,,,,,,,,,,4,50,Brannfors,Gilmore,,,,,True,
PIPN 20,9/10/2024 3:04:26 PM,1,1,4,1,4.5,4,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,2,1,4,2,4,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,3,1,4,3,11.5,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,4,1,4,4,3,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,5,1,4,5,4.5,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,6,2,7,6,4,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,7,2,7,7,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,8,2,7,8,4,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,9,2,7,9,12,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,10,2,7,10,4,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,11,2,7,11,5,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,12,2,7,12,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,13,2,7,13,3,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,14,2,7,14,4,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,15,2,7,15,3.5,4,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,16,2,7,16,8,4,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,17,3,1,17,6.5,3,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,18,3,1,18,10.5,4,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,19,3,1,19,9.5,4,PIPN,,,,,,,,,,,,,,
PIPN 20,9/10/2024 3:04:26 PM,20,3,1,20,4,3,PIPN,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,,,,,,,,,,,,4,50,Tumicki,Gilmore,,,,,True,
PIPN 16,8/15/2024 3:10:25 PM,1,1,30,1,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,2,1,30,2,5.5,3,PIPN,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,3,2,14,3,3.5,4,PIPN,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,4,2,14,4,8,4,PIPN,,,,,,,,,,,,,,
PIPN 16,8/15/2024 3:10:25 PM,5,3,12,5,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,,,,,,,,,,,,4,50,Lalor,Gilmore,,,,,True,
PIPN 18,8/14/2024 3:12:51 PM,1,2,5,1,18.5,3,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,2,2,5,2,19.5,4,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,3,2,5,3,3,3,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,4,2,5,4,3,3,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,5,3,12,5,14,4,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,6,3,12,6,22,4,PIPN,,,,,,,,,,,,,,
PIPN 18,8/14/2024 3:12:51 PM,7,4,12,7,5.5,4,PIPN,,,,,,,,,,,,,,
PIPN 09,8/20/2024 3:07:39 PM,,,,,,,,,,,,4,50,Westfahl,Brannfors,,,,No CWD,True,
PIPO 39,6/16/2024 1:03:37 PM,,,,,,,,,,,,4,100,Lalor; Hillyard,Tumicki,,,,,True,
PIPO 39,6/16/2024 1:03:37 PM,1,1,3,1,4,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,2,1,3,2,5,4,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,3,1,3,3,11.5,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,4,1,3,4,5.5,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,5,1,3,5,10,4,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,6,1,3,6,8.5,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,7,1,3,7,3.5,3,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,8,1,3,8,7,4,PIPO,,,,,,,,,,,,,,
PIPO 39,6/16/2024 1:03:37 PM,9,3,3,9,4.5,3,PIPO,,,,,,,,,,,,,,
PIPN 22,8/15/2024 3:16:02 PM,,,,,,,,,,,,4,50,Lalor,Brannfors,,,,,True,
PIPN 22,8/15/2024 3:16:02 PM,1,4,1,1,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 22,8/15/2024 3:16:02 PM,2,4,1,2,9.5,3,PIPN,,,,,,,,,,,,,,
PIPN 15,8/13/2024 3:09:06 PM,,,,,,,,,,,,4,50,Lalor; Gilmore,Gilmore,,,,,True,
PIPN 15,8/13/2024 3:09:06 PM,1,1,30,1,13,4,PIPN,,,,,,,,,,,,,,
PIPN 15,8/13/2024 3:09:06 PM,2,1,30,2,12,3,PIPN,,,,,,,,,,,,,,
PIPN 15,8/13/2024 3:09:06 PM,3,1,30,3,10,3,PIPN,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,,,,,,,,,,,,4,100,Tumicki; Lalor,Tumicki,,,,,True,
PIPO 33,6/14/2024 12:58:42 PM,1,1,3,1,3,4,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,2,1,3,2,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,3,3,3,3,3.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,4,3,3,4,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,5,3,3,5,3.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,6,3,3,6,16.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,7,3,3,7,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,8,4,0,8,4.5,4,PIPO,,,,,,,,,,,,,,
PIPO 33,6/14/2024 12:58:42 PM,9,4,0,9,3,4,PIPO,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,,,,,,,,,,,,4,50,Lalor; You-Mak,Gilmore,,,,,True,
PIAB 25,8/6/2024 11:02:09 AM,1,1,10,1,4,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,2,2,2,2,4,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,3,2,2,3,6.5,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,4,2,2,4,5.5,3,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,5,2,2,5,3.5,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,6,2,2,6,3,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,7,2,2,7,5,3,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,8,3,1,8,5,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,9,4,0,9,5.5,3,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,10,4,0,10,6.5,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,11,4,0,11,3.5,4,PIAB,,,,,,,,,,,,,,
PIAB 25,8/6/2024 11:02:09 AM,12,4,0,12,5,4,PIAB,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,,,,,,,,,,,,4,50,Brannfors; Gilmore,Gilmore,,,,,True,
PIPN 19,8/14/2024 3:13:57 PM,1,1,3,1,3.5,3,PIPN,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,2,2,1,2,3,4,PIPN,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,3,3,1,3,8,3,PIPN,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,4,3,1,4,4,4,PIPN,,,,,,,,,,,,,,
PIPN 19,8/14/2024 3:13:57 PM,5,4,1,5,6.5,4,PIPN,,,,,,,,,,,,,,
PIPN 17,8/14/2024 3:11:36 PM,,,,,,,,,,,,4,50,Gilmore; Westfahl,Gilmore,,,,,True,
PIPN 17,8/14/2024 3:11:36 PM,1,1,4,1,9.5,4,PIPN,,,,,,,,,,,,,,
PIPN 17,8/14/2024 3:11:36 PM,2,1,4,2,3.5,3,PIPN,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,,,,,,,,,,,,4,100,Garber; Gilmore; Brannfors,Tumicki,,,,,True,
PIPO 29,6/14/2024 12:43:28 PM,1,1,0,1,4.5,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,2,1,0,2,5,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,3,2,4,3,17,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,4,2,4,4,3,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,5,3,3,5,10,3,PIPO,,,,,,,,,,,,,,
PIPO 29,6/14/2024 12:43:28 PM,6,3,3,6,4,3,PIPO,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,,,,,,,,,,,,4,50,Brannfors; Lalor,Westfahl,,,,,True,
PIEN 14,8/19/2024 1:26:35 PM,1,1,5,1,16,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,2,1,5,2,5.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,3,1,5,3,17,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,4,2,20,4,12,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,5,2,20,5,5.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,6,2,20,6,13,3,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,7,2,20,7,7,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,8,2,20,8,9,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,9,2,20,9,12.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,10,2,20,10,5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,11,2,20,11,7.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,12,3,15,12,4,3,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,13,3,15,13,12,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,14,3,15,14,8.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,15,3,15,15,4,3,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,16,3,15,16,10,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,17,4,19,17,8.5,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,18,4,19,18,14,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,19,4,19,19,4,4,PIEN,,,,,,,,,,,,,,
PIEN 14,8/19/2024 1:26:35 PM,20,4,19,20,3.5,4,PIEN,,,,,,,,,,,,,,
